Datum,U1,U2,U3,I1,I2,I3,P,Q,S,f,IEC,P,Q,S
"2024-11-20 17:42:00",238.28319,0,0,1.01615,0,0,0.24213,0.242,-0.00812,49.97318,,,,
"2024-11-20 17:43:01",237.43132,0,0,1.01435,0,0,0.24084,0.24071,-0.008,49.97731,0,9,9,222
"2024-11-20 17:44:01",237.59673,0,0,1.01494,0,0,0.24115,0.24101,-0.00811,49.97039,0,9,9,222
"2024-11-20 17:45:01",238.12915,0,,,,,,,,,,,,
"2024-11-20 17:46:02",238.20233,0,0,1.01659,0,0,0.24215,0.24202,-0.00812,50.00731,0,9,9,222
"2024-11-20 17:47:02",237.24582,0,0,1.01443,0,0,0.24067,0.24053,-0.00805,49.99757,0,9,9,222
"2024-11-20 17:48:02",238.0209,0,0,1.01604,0,0,0.24184,0.2417,,,,,,
"2024-11-20 17:49:03",235.5546,0,0,1.00993,0,0,0.23789,0.23776,-0.00795,50.01265,0,9,9,222
"2024-11-20 17:50:03",235.4688,0,0,1.00975,0,0,0.23777,0.23763,-0.00801,50.01478,0,9,9,223
"2024-11-20 17:51:03",235.54228,0,0,1.01006,0,0,0.23791,0.23778,,,,,,
"2024-11-20 17:52:04",235.30283,0,0,1.00871,0,0,0.23735,0.23722,-0.00791,50.01672,0,9,9,223
"2024-11-20 17:53:04",235.53691,0,0,1.00995,0,0,0.23788,0.23775,-0.00801,50.01587,0,9,9,223
"2024-11-20 17:54:05",236.37271,0,0,1.01171,0,0,0.23914,0.23901,-0.00796,50.01606,0,9,9,223
"2024-11-20 17:55:05",235.93216,0,0,1.01055,0,0,0.23842,0.23829,-0.00789,50.0015,0,9,9,223
"2024-11-20 17:56:05",236.35355,0,0,1.01125,0,0,0.23901,,,,,,,
"2024-11-20 17:57:06",236.7,0,0,1.01226,0,0,0.2396,0.23946,-0.0081,50.0113,0,9,9,223
"2024-11-20 17:58:06",236.99663,0,0,1.01313,0,0,0.24011,0.23997,-0.00809,50.02813,,,,
"2024-11-20 17:59:07",235.35764,0,0,1.00928,0,0,0.23756,0.23742,-0.00793,50.02007,0,9,9,224
"2024-11-20 18:00:07",235.51619,0,0,1.00972,0,0,0.23781,0.23767,-0.00793,50.00327,,,,
"2024-11-20 18:01:08",237.64687,0,0,1.01504,0,0,0.24122,0.24108,-0.00821,49.97578,0,9,9,224
"2024-11-20 18:02:08",238.04138,0,0,1.01563,0,0,0.24176,0.24162,-0.00824,49.99046,0,9,9,224
"2024-11-20 18:03:09",237.91444,0,0,1.01539,0,0,0.24158,0.24144,-0.00819,49.97522,0,9,9,224
"2024-11-20 18:04:09",238.04198,0,0,1.01568,0,0,0.24177,0.24163,-0.00819,50.006,0,9,9,224
"2024-11-20 18:05:10",237.83704,0,0,1.01512,0,0,0.24143,0.24129,-0.00829,50.00473,0,9,9,225
"2024-11-20 18:06:10",238.04915,0,0,1.01617,0,0,0.2419,0.24176,-0.00827,49.9948,0,9,9,225
"2024-11-20 18:07:11",238.4662,0,0,1.01687,0,0,0.24249,0.24236,-0.00804,50.01951,0,9,9,225
"2024-11-20 18:08:11",237.40346,0,0,1.01464,0,0,0.24088,0.24074,-0.00805,50.03015,0,9,9,225
"2024-11-20 18:09:11",238.35945,0,0,1.01633,0,0,0.24225,0.24211,-0.00815,50.00758,0,9,9,225
"2024-11-20 18:10:12",239.19241,0,0,1.01906,0,0,0.24375,0.24361,-0.00829,50.01552,0,9,9,225
"2024-11-20 18:11:12",238.90378,0,0,1.01808,0,0,0.24322,0.24309,-0.00802,50.00998,0,9,9,225
"2024-11-20 18:12:13",238.91261,0,0,1.01815,0,0,0.24325,0.24311,-0.00818,49.99997,0,9,9,226
"2024-11-20 18:13:13",239.12982,0,0,1.01871,0,0,0.2436,0.24347,-0.00824,50.02591,0,9,9,226
"2024-11-20 18:14:13",238.27739,0,0,1.01665,0,0,0.24224,0.24211,-0.00814,49.99969,0,9,9,226
"2024-11-20 18:15:14",238.15204,0,0,1.0163,0,0,0.24203,0.2419,-0.00809,49.9907,0,9,9,226
"2024-11-20 18:16:14",237.78766,0,0,1.01561,0,0,0.2415,0.24137,-0.008,49.99898,0,9,9,226
"2024-11-20 18:17:15",238.51875,0,0,1.01718,0,0,0.24262,0.24248,-0.00805,49.99537,0,9,9,226
"2024-11-20 18:18:15",238.11003,0,0,1.01576,0,0,0.24186,0.24172,-0.00837,49.97478,0,9,9,226
"2024-11-20 18:19:16",237.91399,0,0,1.01586,0,0,0.24169,0.24155,-0.00811,50.00315,0,9,9,226
"2024-11-20 18:20:16",237.56676,0,0,1.01531,0,0,0.2412,0.24107,-0.00803,49.98551,0,9,9,227
"2024-11-20 18:21:17",236.90076,0,0,1.01362,0,0,0.24013,0.24,-0.00791,49.99377,0,9,9,227
"2024-11-20 18:22:17",237.66049,0,0,1.01471,0,0,0.24116,0.24102,-0.00811,49.98335,0,9,9,227
"2024-11-20 18:23:17",238.19705,0,0,1.01655,0,0,0.24214,0.242,-0.00806,49.99498,0,9,9,
"2024-11-20 18:24:18",238.83441,0,0,1.01797,0,0,0.24313,0.24299,-0.00807,49.9859,0,9,9,227
"2024-11-20 18:25:18",238.99994,0,0,1.01797,0,0,0.24329,0.24315,-0.00825,49.99571,0,9,9,227
"2024-11-20 18:26:19",238.81342,0,0,1.0177,0,0,0.24304,0.2429,-0.00816,49.9953,0,9,9,227
"2024-11-20 18:27:19",238.45456,0,0,1.01687,0,0,0.24248,0.24234,,,,,,
"2024-11-20 18:28:20",238.03874,0,0,1.01588,0,0,0.24182,0.24169,-0.00804,50.02168,0,9,9,228
"2024-11-20 18:29:20",239.22394,0,0,1.01888,0,0,0.24374,0.24361,-0.00805,50.0228,0,9,9,228
"2024-11-20 18:30:21",239.24716,0,0,1.0193,0,0,0.24386,0.24372,-0.00827,49.99589,0,9,9,228
"2024-11-20 18:31:21",238.74619,0,0,1.01818,0,0,0.24309,0.24295,-0.00814,50.00978,0,9,9,228
"2024-11-20 18:32:22",239.30763,0,0,1.01911,0,0,0.24388,0.24375,-0.00796,50.02189,0,9,9,228
"2024-11-20 18:33:22",239.43733,0,0,1.01902,0,0,0.24399,0.24386,-0.00816,50.02449,0,9,9,228
"2024-11-20 18:34:23",239.80872,0,0,1.02071,0,0,0.24478,0.24464,-0.00799,50.0192,0,9,9,229
"2024-11-20 18:35:23",239.66716,0,0,1.02034,0,0,0.24454,0.2444,-0.00827,50.03183,0,9,9,229
"2024-11-20 18:36:23",239.14999,0,0,1.01923,0,,,,,,,,,
"2024-11-20 18:37:24",238.71416,0,0,1.01783,0,0,0.24297,0.24284,-0.00809,50.01417,0,9,9,229
"2024-11-20 18:38:24",238.59671,0,0,1.01714,0,0,0.24269,0.24255,-0.00822,50.007,0,9,9,229
"2024-11-20 18:39:24",238.10286,,,,,,,,,,,,,
"2024-11-20 18:40:25",239.35623,0,0,0,0,0,0,0,0,49.99937,0,9,9,229
"2024-11-20 18:41:25",238.83807,0,0,0,0,0,0,0,0,50.00956,,,,
"2024-11-20 18:42:26",238.99211,0,0,0,0,0,0,0,0,50.00632,0,9,9,229
"2024-11-20 18:43:26",238.35529,0,0,0,0,0,0,0,0,50.00233,0,9,9,
"2024-11-20 18:50:22",237.93495,0,0,1.01569,0,0,0.24167,0.24153,-0.00799,49.97843,0,9,9,230
"2024-11-20 18:51:23",238.35484,0,0,1.01636,0,0,0.24225,0.24212,-0.00802,50.00352,0,9,9,230
"2024-11-20 18:52:23",237.3257,0,0,1.01417,0,0,0.24069,0.24056,-0.00803,49.99667,0,9,9,230
"2024-11-20 18:53:24",237.87971,0,0,1.01499,0,0,0.24144,0.24131,-0.00805,49.99463,0,9,9,230
"2024-11-20 18:54:24",237.11121,0,0,1.01353,0,0,0.24032,0.24019,-0.00801,49.99891,0,9,9,230
"2024-11-20 18:55:25",236.72815,0,0,1.01304,0,0,0.23981,0.23968,-0.00791,49.98288,0,9,9,230
"2024-11-20 18:56:25",237.73476,0,0,1.01507,0,0,0.24132,0.24119,-0.00785,50.00237,0,9,9,230
"2024-11-20 18:57:26",238.18234,0,0,1.01607,0,0,0.24201,0.24188,-0.00798,50.00527,0,9,9,231
"2024-11-20 18:58:26",238.19409,0,0,,,,,,,,,,,
"2024-11-20 18:59:27",239.33966,0,0,1.01939,0,0,0.24398,0.24385,-0.00803,49.98454,0,9,9,231
"2024-11-20 19:00:28",238.42432,0,0,1.01631,0,0,0.24231,0.2421,-0.00803,49.97013,0,9,9,231
"2024-11-20 19:01:28",237.80287,0,0,1.01484,0,0,0.24133,0.2412,-0.00803,49.94059,0,9,9,231
"2024-11-20 19:02:29",237.64099,0,0,1.01473,0,0,0.24114,0.24101,-0.008,49.94196,0,9,9,231
"2024-11-20 19:03:29",238.28795,0,0,1.01623,0,0,0.24215,0.24202,-0.00812,49.944,0,9,9,231
"2024-11-20 19:04:29",238.50362,0,0,1.01664,0,0,0.24247,0.24234,,,,,,
"2024-11-20 19:05:30",238.0235,0,0,1.016,0,0,0.24183,0.2417,-0.00804,49.9619,0,9,9,232
"2024-11-20 19:06:30",237.4442,,,,,,,,,,,,,
"2024-11-20 19:07:31",236.77899,0,0,1.01219,0,0,0.23967,0.23953,-0.00801,49.97539,0,9,9,232
"2024-11-20 19:08:31",237.29228,0,0,1.01348,0,0,0.24049,0.24036,-0.00785,49.97651,,,,
"2024-11-20 19:09:32",239.66225,0,0,1.01947,0,0,0.24433,0.2442,-0.00807,49.99543,0,9,9,232
"2024-11-20 19:10:32",239.77411,0,0,,,,,,,,,,,
"2024-11-20 19:11:37",238.03128,0,0,1.01546,0,0,0.24171,0.24158,-0.00793,49.97048,0,9,9,233
"2024-11-20 19:12:30",239.51283,0,0,1.01888,0,0,0.24404,0.24391,-0.00797,49.97812,0,9,9,233
"2024-11-20 19:13:30",238.92009,0,0,1.01774,0,0,0.24316,0.24303,-0.00805,49.98,0,9,9,233
"2024-11-20 19:14:30",239.56186,0,0,1.01946,0,0,0.24422,0.2441,-0.00794,,,,,
"2024-11-20 19:15:31",240.64429,0,0,1.02226,0,0,0.246,0.24587,-0.00814,49.95042,0,9,9,233
"2024-11-20 19:16:31",239.155,0,0,1.01864,0,0,0.24361,0.24348,-0.00812,49.97775,0,9,9,233
"2024-11-20 19:17:31",240.74222,0,,,,,,,,,,,,
"2024-11-20 19:18:32",240.0201,0,0,1.02046,0,0,0.24493,0.2448,-0.008,49.96814,0,9,9,233
"2024-11-20 19:19:32",238.09769,0,0,1.01519,0,0,0.24171,0.24158,-0.00809,50.00522,0,9,9,234
"2024-11-20 19:20:33",238.96616,0,0,1.01845,0,0,0.24337,0.24324,-0.00797,50.00002,0,9,9,234
